emp_no,first_name,last_name,title,from_date,to_date,dept_name
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01,Sales
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01,Development
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01,Sales
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01,Research
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,Production
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,Development
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01,Research
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01,Production
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01,Production
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01,Development
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01,Finance
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,Production
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01,Development
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01,Human Resources
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,Production
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01,Sales
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01,Production
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01,Sales
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01,Production
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,Finance
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01,Development
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01,Sales
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01,Production
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01,Finance
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01,Production
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,Production
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,Development
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,Sales
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,Development
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,Production
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,Production
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01,Development
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01,Development
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01,Customer Service
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,Human Resources
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01,Development
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01,Production
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01,Customer Service
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01,Development
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01,Marketing
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01,Customer Service
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01,Production
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01,Customer Service
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,Production
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01,Customer Service
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01,Production
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,Production
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,Development
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,Marketing
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,Sales
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,Development
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01,Sales
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,Production
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,Development
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01,Sales
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,Development
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,Research
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01,Marketing
22926,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01,Production
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01,Production
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01,Development
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01,Development
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01,Quality Management
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01,Sales
24553,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01,Sales
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01,Production
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01,Research
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01,Research
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01,Development
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01,Development
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01,Customer Service
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01,Finance
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01,Production
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01,Sales
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01,Production
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01,Customer Service
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,9999-01-01,Development
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01,Development
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01,Production
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01,Marketing
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01,Customer Service
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01,Production
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01,Production
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01,Development
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01,Production
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01,Quality Management
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01,Production
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,9999-01-01,Production
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01,Research
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01,Development
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01,Development
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01,Development
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01,Sales
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01,Development
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01,Marketing
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01,Sales
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01,Finance
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01,Production
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01,Production
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01,Finance
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01,Development
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01,Marketing
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01,Production
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01,Development
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01,Marketing
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01,Development
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01,Research
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01,Marketing
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01,Sales
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01,Development
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01,Customer Service
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01,Production
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,Development
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,Research
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01,Sales
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01,Human Resources
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01,Development
34452,Naftaly,Foong,Senior Engineer,2000-05-09,9999-01-01,Production
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,9999-01-01,Sales
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01,Production
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01,Quality Management
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01,Marketing
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01,Sales
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01,Production
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01,Production
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,9999-01-01,Production
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01,Customer Service
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01,Development
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01,Research
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01,Production
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01,Quality Management
35793,Oscar,Kusalik,Senior Staff,1996-05-10,9999-01-01,Customer Service
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01,Development
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01,Finance
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01,Sales
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01,Customer Service
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01,Customer Service
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01,Quality Management
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01,Customer Service
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01,Development
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01,Development
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01,Production
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01,Sales
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01,Quality Management
38593,Huei,Orsini,Senior Engineer,1995-06-04,9999-01-01,Production
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01,Marketing
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01,Human Resources
39000,Martijn,Vendrig,Senior Staff,2002-03-03,9999-01-01,Research
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01,Human Resources
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01,Research
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01,Production
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01,Sales
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01,Sales
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01,Development
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01,Production
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01,Customer Service
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01,Development
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01,Development
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01,Production
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,Sales
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,Customer Service
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01,Development
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01,Production
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01,Research
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01,Customer Service
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01,Quality Management
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01,Development
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,9999-01-01,Production
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01,Sales
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01,Research
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01,Human Resources
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01,Quality Management
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01,Human Resources
43154,Maha,Waterhouse,Senior Staff,2002-07-04,9999-01-01,Finance
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01,Development
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01,Production
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01,Development
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01,Development
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01,Production
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01,Development
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01,Development
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01,Marketing
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01,Sales
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01,Customer Service
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,9999-01-01,Development
47016,Toong,Litecky,Senior Staff,1994-03-01,9999-01-01,Customer Service
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01,Production
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01,Sales
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01,Development
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01,Sales
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01,Development
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01,Development
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01,Marketing
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01,Sales
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01,Human Resources
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01,Sales
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,Marketing
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,Sales
49017,Filipp,Flanders,Senior Engineer,1999-11-26,9999-01-01,Development
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01,Production
48882,Leen,Lamparter,Senior Engineer,2001-06-07,9999-01-01,Production
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,9999-01-01,Finance
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01,Production
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01,Finance
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01,Sales
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01,Human Resources
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01,Production
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01,Production
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01,Quality Management
